github.com/AlDanial/cloc v 2.06  T=22.46 s (346.9 files/s, 62200.7 lines/s)
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                                                                         blank        comment           code
./server/sonar-server-common/src/test/java/org/sonar/server/issue/notification/ChangesOnMyIssuesEmailTemplateTest.java                                                                                         110             21            757
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/ui/ws/ComponentActionIT.java                                                                                                                      119             23            747
./server/sonar-webserver-webapi/src/main/java/org/sonar/server/issue/ws/SearchAction.java                                                                                                                       47             27            726
./server/sonar-db-dao/src/it/java/org/sonar/db/qualityprofile/ActiveRuleDaoIT.java                                                                                                                             141             28            718
./sonar-scanner-engine/src/test/java/org/sonar/scm/git/GitScmProviderTest.java                                                                                                                                 177             41            714
./sonar-sarif/build/generated-sources/js2p/org/sonar/sarif/pojo/Run.java                                                                                                                                       102            373            710
./server/sonar-server-common/src/main/java/org/sonar/server/rule/index/RuleIndex.java                                                                                                                          125             50            706
./server/sonar-alm-client/src/test/java/org/sonar/alm/client/bitbucketserver/BitbucketServerRestClientTest.java                                                                                                 99             21            699
./server/sonar-ce-task-projectanalysis/src/test/java/org/sonar/ce/task/projectanalysis/component/ComponentTreeBuilderTest.java                                                                                 113             22            691
./server/sonar-db-dao/src/main/java/org/sonar/db/issue/IssueDto.java                                                                                                                                           131            108            691
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/qualityprofile/ws/ChangelogActionIT.java                                                                                                           55             26            689
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/issue/ws/ListActionIT.java                                                                                                                         85             19            688
./server/sonar-telemetry/src/test/java/org/sonar/telemetry/legacy/TelemetryDataJsonWriterTest.java                                                                                                              93             19            687
./server/sonar-db-dao/src/it/java/org/sonar/db/user/UserDaoIT.java                                                                                                                                             150             22            681
./server/sonar-webserver-es/src/test/java/org/sonar/server/issue/index/IssueQueryFactoryTest.java                                                                                                              133             24            672
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/setting/ws/ValuesActionIT.java                                                                                                                    133             28            672
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/projectanalysis/ws/SearchActionIT.java                                                                                                            105             22            670
./server/sonar-db-dao/src/it/java/org/sonar/db/ce/CeQueueDaoIT.java                                                                                                                                            115             33            669
./sonar-sarif/build/generated-sources/js2p/org/sonar/sarif/pojo/ToolComponent.java                                                                                                                              93            367            666
